Timestamp,First name,Last name,Sexe,Age,Email,Phone number,Where are you from ?,"If you are still studying, what level of education are you currently completing ?","If you are still studying, what school are you currently studying at ?",What's your work status ?,What field do you work in ?,How did you find out about our event ?,Comments if needed
24/10/2020 13:22:16,NA,NA,Male,Between 20 and 30,NA,NA,Egypt,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Facebook,NA
24/10/2020 13:32:52,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ENSI,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 13:35:20,NA,NA,Male,Between 31 and 40,NA,NA,Malaysia,Doctorate degree,School of medical sciences,Studying,Biology,Facebook,NA
24/10/2020 13:59:05,NA,NA,Male,Between 31 and 40,NA,NA,Tunisia,None,ISIMM,Employed,Education,Twitter,NA
24/10/2020 14:22:06,NA,NA,Male,Between 31 and 40,NA,NA,Egypt,None,None,Employed,Biology,LinkedIn,NA
24/10/2020 14:24:47,NA,NA,Female,Between 31 and 40,NA,NA,Brazil,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Instagram,NA
24/10/2020 14:26:32,NA,NA,Female,Between 20 and 30,NA,NA,India,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
24/10/2020 14:33:39,NA,NA,Male,Between 31 and 40,NA,NA,Tunisia,None,None,Employed,Healthcare,LinkedIn,NA
24/10/2020 14:40:46,NA,NA,Male,Between 31 and 40,NA,NA,India,None,None,Self-employed/Freelance,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 14:46:04,NA,NA,Female,Between 31 and 40,NA,NA,Mexico,Master's degree,Tec,Employed,International Affairs,Instagram,NA
24/10/2020 15:04:41,NA,NA,Male,Between 20 and 30,NA,NA,India,None,None,Employed,None,Meetup,NA
24/10/2020 15:04:48,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,College degree,TBS,Studying,None,LinkedIn,NA
24/10/2020 15:08:59,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Post-doctorate degree,Institut Pasteur de Tunis,Employed,Biology,LinkedIn,NA
24/10/2020 15:09:35,NA,NA,Female,Less than 20,NA,NA,Tunisia,College degree,TBS,Studying,Business analytics and marketing,LinkedIn,NA
24/10/2020 15:43:42,NA,NA,Male,Between 20 and 30,NA,NA,France,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 15:44:55,NA,NA,Male,Between 31 and 40,NA,NA,India,None,None,Unemployed - Looking for work,None,LinkedIn,NA
24/10/2020 15:48:16,NA,NA,Male,Between 31 and 40,NA,NA,Bangladesh,Master's degree,None,Employed,Health,LinkedIn,NA
24/10/2020 15:48:44,NA,NA,Male,More than 40,NA,NA,Switzerland,Master's degree,None,Employed,Finance,LinkedIn,NA
24/10/2020 15:58:51,NA,NA,Male,Between 31 and 40,NA,NA,Tunisia,None,None,Unemployed - Looking for work,None,LinkedIn,NA
24/10/2020 16:37:09,NA,NA,Male,Between 31 and 40,NA,NA,Pakistan,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
24/10/2020 16:46:01,NA,NA,Female,Between 31 and 40,NA,NA,Brazil,College degree,None,Employed,Credit cards,Instagram,NA
24/10/2020 16:55:07,NA,NA,Male,Between 20 and 30,NA,NA,Peru,College degree,None,Self-employed/Freelance,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 17:23:17,NA,NA,Male,Between 20 and 30,NA,NA,USA,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Email,NA
24/10/2020 17:36:10,NA,NA,Female,Between 20 and 30,NA,NA,Brazil,Master's degree,None,Studying,"Science, Engineering, Technology, & Mathematics",Instagram,NA
24/10/2020 18:20:11,NA,NA,Female,Between 31 and 40,NA,NA,Mexico,Doctorate degree,UPV,UPV,Marketing,LinkedIn,NA
24/10/2020 19:52:25,NA,NA,Male,More than 40,NA,NA,Costa Rica,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 20:38:34,NA,NA,Male,Between 20 and 30,NA,NA,India,College degree,BITS,Studying,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 20:46:29,NA,NA,Male,Between 20 and 30,NA,NA,Greece,Bachelor Degree,None,Self-employed/Freelance,Telecommunications,LinkedIn,NA
24/10/2020 22:23:40,NA,NA,Female,More than 40,NA,NA,The Netherlands,None,None,Unemployed - Looking for work,Life sciences,Instagram,NA
24/10/2020 22:36:43,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,None,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
24/10/2020 22:58:00,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,College degree,TBS,Studying,Business admnistration,Facebook,NA
24/10/2020 23:20:07,NA,NA,Male,Between 20 and 30,NA,NA,Tunisia,Engineering degree,ESSAI,Employed,Consultancy,LinkedIn,NA
25/10/2020 03:11:28,NA,NA,Male,Between 20 and 30,NA,NA,India,Master's degree,MSE,Studying,Economics,LinkedIn,NA
25/10/2020 05:43:24,NA,NA,Female,Between 20 and 30,NA,NA,Colombia,College degree,None,Employed,"Science, Engineering, Technology, & Mathematics",LinkedIn,NA
25/10/2020 08:24:35,NA,NA,Male,Between 20 and 30,NA,NA,USA,None,None,Employed,"Science, Engineering, Technology, & Mathematics",Twitter,NA
25/10/2020 09:13:25,NA,NA,Female,Between 20 and 30,NA,NA,Tunisia,Master's degree,ENIT,Studying,"Science, Engineering, Technology, & Mathematics",Facebook,NA
